title,topic,url,publish_date,likes,comments,shares,collections,views,subscribers
This powder changes color like magic,science,https://vt.tiktok.com/ZSxExR68v/,2022/4/19,4547000,27000,192000,196000,29177000,10546000
What if Time isn't real?,science,https://vt.tiktok.com/ZSxExMr85/,2026/5/2,580000,2738,59000,74000,2669000,11000
Part 1: Earth Has Been Falling for 4.6 Billion Years,science,https://vt.tiktok.com/ZSxExFVd4/,2026/2/28,472000,5395,24000,53000,4565000,546000
Today we look at some sound wave physics!,science,https://vt.tiktok.com/ZSxExj6M5/,2023/5/16,1086000,5562,44000,81000,12900000,385000
Scientists discovery breaks a fundamental rule of biology,science,https://vt.tiktok.com/ZSxExFNAr/,2026/4/21,164000,939,24000,24000,1444000,40000
Power of Physics,science,https://vt.tiktok.com/ZSxExrEpG/,2026/4/12,1684000,12000,22000,54000,49481000,27000
can you count to 60 on your hands?,science,https://vt.tiktok.com/ZSxE9KhQC/,2024/3/15,200000,1513,9000,36000,2408000,1401000
Living on a centrifuge is weird!,science,https://vt.tiktok.com/ZSxExet2L/,2023/9/5,145000,576,1998,13000,1345000,16000
Chemistry Made Simple | EP 4: How to do Conversion,science,https://vt.tiktok.com/ZSxE9E3tA/,2026/4/21,251000,763,20000,79000,9863000,67000
"An organism that can learn without a brain,,,,,",science,https://vt.tiktok.com/ZSxExFjuq/,2026/3/17,2573,64,236,548,24000,40000
TECHNICALLY,science,https://vt.tiktok.com/ZSxE9KUvP/,2026/5/22,1609,62,24,60,11000,1401000
Spooky Science: Blood Mode!,science,https://vt.tiktok.com/ZSxExHg2F/,2023/10/27,38400,2012,4474,51000,4415000,3415000
Rockets don't smoke. They vape!,science,https://vt.tiktok.com/ZSxExB1h5/,2021/8/25,9755,144,138,683,142000,16000
Voyager 1,science,https://vt.tiktok.com/ZSxExNcpp/,2021/8/17,2139,61,42,156,18000,16000
Spooky Ballons!,science,https://vt.tiktok.com/ZSxExhaWF/,2025/10/8,2108,56,540,1033,67000,3415000
If sunlight dropped by 1% - What would happen to life on Earth as we know it?,science,https://vt.tiktok.com/ZSxExh8tN/,2026/3/20,3231,46,89,231,60000,1465000
Today we revist one of my favorite demonstration,science,https://vt.tiktok.com/ZSxExLgJM/,2025/12/4,6841,137,300,604,380000,385000
The thicc bear,science,https://vt.tiktok.com/ZSxExeHDu/,2025/8/26,1228,39,15,216,30000,2245000
"Chemistry Practice | EP 7: How To Write Molecular, Complete & Net Ionic Equations",science,https://vt.tiktok.com/ZSxExJadq/,2026/5/10,2323,38,202,680,185000,67000
